Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,CC0805KRX7R9BB104
C2,0805,1,2u2,GRM188R61E225KA12D
D1,LED_Cree-XHP50_12V_HighDensity,1,LED_Cree_XHP50_12V_HighDensity,XHP50D-H0-0000-0D0ZE427G
D10,Nexperia_DSN1608-2_1.6x0.8mm,1,PTVS12VZ1USK,PTVS12VZ1USKYL
D11,Nexperia_DSN1608-2_1.6x0.8mm,1,PTVS5V0Z1USKP,PTVS5V0Z1USKPYL
"D2, D3, D4, D5, D6, D7, D8, D9",LED_JB2835BWT-G-U40GA0000-N0000001,8,JB2835BWT-G-U40GA0000-N0000001,JB2835BWT-G-U22GA0000-N0000001
Q4,SOT-23,1,AO3400A,AO3400A
"R37, R40",0805,2,130,RMCF0805FT130R
R38,0805,1,1K,RMCF0805FT1K00
R39,0805,1,10K,RMCF0805FT10K0
