Designator,Mid X,Mid Y,Rotation,Layer
C1,145.03,-92.1,270.0,top
C2,147.010537,-92.103286,270.0,top
D1,168.9,-101.40005,180.0,top
D10,151.6,-113.6,180.0,top
D11,147.9,-108.4,270.0,top
D2,174.356667,-119.0,0.0,top
D3,163.623333,-119.0,0.0,top
D4,152.31,-84.8,180.0,top
D5,163.043333,-84.8,180.0,top
D6,173.776667,-84.8,180.0,top
D7,152.89,-119.0,0.0,top
D8,185.09,-119.0,0.0,top
D9,184.51,-84.8,180.0,top
Q4,150.5625,-109.0,180.0,top
R37,149.9125,-93.0,180.0,top
R38,143.46875,-108.3,0.0,top
R39,146.19375,-109.0375,90.0,top
R40,149.9125,-91.1,180.0,top
TP1,139.9,-85.533333,0.0,top
TP2,139.9,-108.4,0.0,top
TP3,139.9,-91.8,0.0,top
TP4,139.9,-114.5,0.0,top
